time_,read/joint_1,read/joint_2,read/joint_3,read/joint_4,read/joint_5,read/joint_6,read/joint_7,read/joint_8,read/joint_9,read/joint_10,read/joint_11,read/joint_12,read/joint_13,read/joint_14,read/joint_15,read/joint_16,read/joint_17,read/joint_18,read/joint_19,read/joint_20,read/joint_21,read/joint_22,read/joint_23,read/joint_24,read/joint_25,read/joint_26,read/joint_27,read/joint_28,read/joint_29,read/joint_30,read/joint_31,read/joint_32,read/joint_33,read/joint_34,read/joint_35,read/joint_36,read/joint_37,read/joint_38,read/joint_39,read/joint_40,read/joint_41
0.242827,-0.136362,0.081364,0.014533,-0.009378,0.525061,0.044008,-0.148925,0.074777,-0.005284,0.008903,0.525067,0.003226,0.010716,-0.071053,-0.104265,0.511904,-0.054710,-1.841717,-0.103058,0.455833,0.248850,0.576130,2.488441,-2.247982,-0.746800,0.769299,1.443588,1.209395,-1.294859,0.009935,0.004014,-0.003177,0.000508,-0.005496,0.007067,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059111
0.244830,-0.136362,0.081364,0.014533,-0.009378,0.525061,0.044008,-0.148925,0.074777,-0.005284,0.008903,0.525067,0.003226,0.010716,-0.071053,-0.104265,0.511904,-0.054710,-1.841717,-0.103058,0.455833,0.248850,0.576130,2.488441,-2.247982,-0.746800,0.769299,1.443588,1.209395,-1.294859,0.009935,0.004014,-0.003177,0.000508,-0.005496,0.007067,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059111
0.246706,-0.136362,0.081364,0.014533,-0.009378,0.525061,0.044008,-0.148925,0.074777,-0.005284,0.008903,0.525067,0.003226,0.010716,-0.071053,-0.104265,0.511904,-0.054710,-1.841717,-0.103058,0.455833,0.248850,0.576130,2.488441,-2.247982,-0.746800,0.769299,1.443588,1.209395,-1.294859,0.009935,0.004014,-0.003177,0.000508,-0.005496,0.007067,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059111
0.248706,-0.136362,0.081364,0.014533,-0.009378,0.525061,0.044008,-0.148925,0.074777,-0.005284,0.008903,0.525067,0.003226,0.010716,-0.071053,-0.104265,0.511904,-0.054710,-1.841717,-0.103058,0.455833,0.248850,0.576130,2.488441,-2.247982,-0.746800,0.769299,1.443588,1.209395,-1.294859,0.009935,0.004014,-0.003177,0.000508,-0.005496,0.007067,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059111
0.250754,-0.136362,0.081364,0.014533,-0.009378,0.525061,0.044008,-0.148925,0.074777,-0.005284,0.008903,0.525067,0.003226,0.010716,-0.071053,-0.104265,0.511904,-0.054710,-1.841717,-0.103058,0.455833,0.248850,0.576130,2.488441,-2.247982,-0.746800,0.769299,1.443588,1.209395,-1.294859,0.009935,0.004014,-0.003177,0.000508,-0.005496,0.007067,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059111
0.252722,-0.136365,0.081365,0.014544,-0.009378,0.525061,0.044010,-0.148928,0.074778,-0.005285,0.008904,0.525067,0.003222,0.010714,-0.071055,-0.104268,0.511904,-0.054710,-1.841711,-0.103046,0.455843,0.248845,0.576133,2.488440,-2.247986,-0.746795,0.769308,1.443530,1.209378,-1.294823,0.010624,-0.002846,0.004658,-0.000241,0.005408,0.003705,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059122
0.254711,-0.136365,0.081365,0.014544,-0.009379,0.525061,0.044010,-0.148928,0.074778,-0.005286,0.008902,0.525067,0.003220,0.010713,-0.071056,-0.104271,0.511905,-0.054710,-1.841708,-0.103040,0.455848,0.248843,0.576134,2.488440,-2.247987,-0.746792,0.769310,1.443500,1.209371,-1.294809,0.010701,-0.003841,0.005800,0.003496,0.006585,-0.005235,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059128
0.256712,-0.136365,0.081365,0.014544,-0.009379,0.525061,0.044010,-0.148928,0.074778,-0.005286,0.008902,0.525067,0.003219,0.010714,-0.071057,-0.104273,0.511904,-0.054710,-1.841705,-0.103035,0.455853,0.248840,0.576135,2.488443,-2.247988,-0.746786,0.769313,1.443472,1.209359,-1.294799,0.010628,-0.001867,0.003804,0.003596,0.003073,-0.007467,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059133
0.258723,-0.136366,0.081365,0.014539,-0.009379,0.525061,0.044009,-0.148928,0.074777,-0.005288,0.008901,0.525066,0.003219,0.010714,-0.071057,-0.104273,0.511904,-0.054710,-1.841705,-0.103035,0.455853,0.248840,0.576135,2.488443,-2.247988,-0.746786,0.769313,1.443472,1.209359,-1.294799,0.010628,-0.001867,0.003804,0.003596,0.003073,-0.007467,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059133
0.260689,-0.136365,0.081364,0.014530,-0.009381,0.525061,0.044007,-0.148929,0.074777,-0.005289,0.008901,0.525066,0.003217,0.010716,-0.071057,-0.104275,0.511904,-0.054710,-1.841703,-0.103029,0.455857,0.248838,0.576136,2.488446,-2.247989,-0.746780,0.769318,1.443445,1.209346,-1.294791,0.010435,0.002503,-0.000724,0.000762,-0.004308,-0.004245,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059139
0.262747,-0.136365,0.081363,0.014526,-0.009382,0.525061,0.044006,-0.148929,0.074776,-0.005290,0.008900,0.525066,0.003215,0.010718,-0.071057,-0.104277,0.511904,-0.054710,-1.841700,-0.103023,0.455862,0.248835,0.576137,2.488448,-2.247991,-0.746775,0.769324,1.443421,1.209332,-1.294783,0.010129,0.003102,-0.001610,-0.004439,-0.005264,0.003839,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059144
0.264681,-0.136365,0.081363,0.014524,-0.009383,0.525060,0.044005,-0.148930,0.074776,-0.005291,0.008900,0.525066,0.003213,0.010718,-0.071058,-0.104280,0.511905,-0.054710,-1.841697,-0.103017,0.455867,0.248833,0.576138,2.488447,-2.247993,-0.746773,0.769329,1.443395,1.209317,-1.294776,0.009752,0.000639,0.000440,-0.005813,-0.001452,0.005352,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059150
0.266715,-0.136365,0.081363,0.014526,-0.009385,0.525060,0.044005,-0.148932,0.074776,-0.005291,0.008901,0.525066,0.003211,0.010717,-0.071059,-0.104282,0.511905,-0.054710,-1.841694,-0.103011,0.455872,0.248831,0.576139,2.488445,-2.247997,-0.746771,0.769334,1.443371,1.209303,-1.294765,0.009293,-0.004261,-0.000824,-0.004083,0.006320,0.001545,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059155
0.268708,-0.136365,0.081363,0.014529,-0.009386,0.525060,0.044005,-0.148933,0.074776,-0.005292,0.008901,0.525066,0.003209,0.010716,-0.071060,-0.104284,0.511905,-0.054710,-1.841691,-0.103005,0.455877,0.248828,0.576141,2.488444,-2.247998,-0.746770,0.769337,1.443330,1.209291,-1.294792,0.008917,-0.005424,0.000939,0.000108,0.007734,-0.007015,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059161
0.270730,-0.136365,0.081364,0.014534,-0.009387,0.525060,0.044006,-0.148934,0.074776,-0.005292,0.008901,0.525066,0.003207,0.010715,-0.071061,-0.104285,0.511905,-0.054710,-1.841689,-0.102999,0.455882,0.248826,0.576142,2.488445,-2.248000,-0.746767,0.769341,1.443294,1.209276,-1.294815,0.008496,-0.003589,-0.000557,0.000575,0.004389,-0.008967,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.059166
